,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
19,0.07431761423746745,0.00412776410013498,0.022256851196289062,0.002248439660605225,,entropy,6,sqrt,0.005,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.6717791411042945,0.6430678466076696,0.6945337620578779,0.669793583256614,0.021057729273861434,1
33,0.06768075625101726,0.003480015362525588,0.025942643483479817,0.0016243437711133818,,entropy,9,sqrt,0.01,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.6697247706422018,0.6606060606060606,0.6756756756756757,0.6686688356413127,0.006197288311897337,2
31,0.0716405709584554,0.003972466633242638,0.023501475652058918,0.0020080943809460588,,entropy,9,sqrt,0.005,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.6627906976744186,0.649390243902439,0.6855345911949685,0.6659051775906087,0.014919304031176283,3
26,0.1443345546722412,0.007631803715819951,0.025659879048665363,0.005126570031595959,,entropy,9,,0.01,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'random'}",0.6770186335403726,0.6635220125786163,0.6404494382022472,0.6603300281070786,0.015098964325838076,4
57,0.050327698389689125,0.004202199803774923,0.023606061935424805,0.001245345528683752,,gini,6,sqrt,0.01,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.659942363112392,0.6735395189003437,0.6448863636363636,0.6594560818830332,0.011702654363318804,5
55,0.053741455078125,0.004113067128597111,0.019796371459960938,0.003472250283860467,,gini,6,sqrt,0.005,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.6628242074927954,0.659375,0.65,0.6573997358309317,0.005418568436882608,6
30,0.06290388107299805,0.0010261627783887547,0.01895626386006673,0.002160907177133489,,entropy,9,sqrt,0.005,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'random'}",0.6563380281690141,0.6606060606060606,0.6515580736543909,0.6561673874764885,0.003695795417665478,7
21,0.061430772145589195,0.004737958328216064,0.023272116978963215,0.0020474876780081654,,entropy,6,sqrt,0.01,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.6837060702875399,0.6397694524495677,0.6438356164383562,0.6557703797251545,0.019823143507761123,8
62,0.1240374247233073,0.0028686887663777628,0.018953879674275715,0.0035484311346932586,,gini,9,,0.01,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'random'}",0.655367231638418,0.6687306501547987,0.6424418604651163,0.6555132474194444,0.010732850081046179,9
9,0.06510694821675618,0.002650940949662882,0.026105801264444988,0.0032255311256468733,,entropy,3,sqrt,0.01,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.6666666666666666,0.6420118343195266,0.6535211267605634,0.6540665425822522,0.010072679164628354,10
7,0.06483157475789388,0.007286313422667775,0.024947643280029297,0.0016112943190470087,,entropy,3,sqrt,0.005,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.6666666666666666,0.6420118343195266,0.6535211267605634,0.6540665425822522,0.010072679164628354,10
43,0.05286796887715658,0.003631083647031549,0.021916707356770832,0.0018678970221187845,,gini,3,sqrt,0.005,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.6666666666666666,0.6412429378531074,0.6535211267605634,0.6538102437601124,0.010381207000341914,12
