Custid,Dayswus,Age,Edu,Income,Freq,Recency,Monetary,LTV,Perdeal,Dryred,Sweetred,Drywh,Sweetwh,Dessert,Exotic,WebPurchase,WebVisit,YearsAsCustomer,logIncome,logLTV,FrequencyScore,RecencyScore,MonetaryScore,RFM
0,653.0,55.0,20.0,78473.0,20.0,18.0,826.0,445.0,7.0,67.0,4.0,26.0,2.0,1.0,1.0,36.0,5.0,1.8,11.270509895561874,6.09807428216624,3,4,3,10
1,1041.0,75.0,18.0,105087.0,36.0,33.0,1852.0,539.0,2.0,49.0,0.0,46.0,1.0,3.0,0.0,20.0,4.0,2.9,11.562543857492422,6.289715570908998,4,3,4,11
2,666.0,18.0,12.0,27984.0,4.0,56.0,39.0,-7.0,88.0,4.0,29.0,14.0,32.0,21.0,48.0,60.0,8.0,1.8,10.239388197258384,0.0,1,2,1,4
3,1049.0,42.0,16.0,61748.0,2.0,46.0,37.0,-6.0,70.0,86.0,1.0,11.0,1.0,1.0,55.0,59.0,7.0,2.9,11.030816865301732,0.0,1,3,1,5
4,837.0,47.0,16.0,65789.0,2.0,3.0,36.0,4.0,35.0,85.0,0.0,12.0,2.0,1.0,28.0,63.0,6.0,2.3,11.094207930086123,1.3862943611198906,1,4,1,6
5,916.0,54.0,20.0,76751.0,17.0,17.0,658.0,185.0,4.0,62.0,7.0,27.0,4.0,0.0,30.0,36.0,5.0,2.5,11.248321694680524,5.220355825078324,3,4,3,10
6,874.0,42.0,15.0,51644.0,2.0,19.0,33.0,-5.0,74.0,75.0,1.0,22.0,0.0,2.0,23.0,44.0,5.0,2.4,10.852129301294609,0.0,1,4,1,6
7,1063.0,70.0,16.0,83942.0,29.0,20.0,1407.0,440.0,4.0,40.0,3.0,45.0,3.0,9.0,2.0,13.0,2.0,2.9,11.337881363146503,6.0867747269123065,4,4,4,12
8,853.0,26.0,17.0,33186.0,2.0,86.0,21.0,-6.0,89.0,23.0,16.0,40.0,11.0,11.0,30.0,66.0,8.0,2.3,10.409883379222734,0.0,1,1,1,3
9,881.0,53.0,17.0,88538.0,17.0,12.0,651.0,195.0,16.0,88.0,2.0,9.0,1.0,1.0,11.0,39.0,5.0,2.4,11.391187117370512,5.272999558563747,3,4,3,10
